uid,total_games,taxa_acordo,js_medio
9762c02ee1265921d1d889ef435d8476,24,0.7468671679197995,0.1614847396115336
1d4c979ff3d5184c96ebb856fd1b9e05,10,0.7872340425531915,0.13811377759849247
646097f7c1fe78af390346442ba40485,10,0.8545454545454545,0.11128455324330956
e3eebdcdb6303ed0d5086e81ee91b350,45,0.8029678483099753,0.12756724695430108
a50af6e359ea202dcceb9fadaded772f,14,0.7011494252873564,0.19179698486329805
d6fcdf9326532424036b73d563a7d19a,3,0.7407407407407407,0.15302917931045398
f07ee05301a472c6bb5aa72f43de77bd,1,0.6666666666666666,0.25098283024186707
397683e2ca5ce1c36ffdbd383a83f0a0,5,0.7023809523809523,0.25467835159319474
ee87d65dd2432098750b5e801b2d853d,2,0.8571428571428571,0.07959898437779231
00943cca94cbb3febe51f1950c41cd17,8,0.7470588235294118,0.16062514478006173
0ed4f04891179483a7603cb9b553c5b2,3,0.8863636363636364,0.07535416468838124
e0d8e5c8b8bb8e8b8aad65a5b1b6ca47,1,0.7272727272727273,0.27272726417998694
6a7a0ba19c5d32f767dc00631906d5c0,8,0.864406779661017,0.10309650081253324
c91b93d8c3e5db353c4abb8d4eeae83d,1,0.575,0.2785061754475403
f5b217964057e22fe70aa1b3982e953f,3,0.8059701492537313,0.1323532598323755
2b717baee82b6883bd1f4ab5ba188129,3,0.9166666666666666,0.07376774914182399
16E67C19-DF25-416D-A2BA-F87F9DF80AD5,13,0.8501529051987767,0.11366575009580224
06f62ce38eacbd9271b28a2fd24f70fb,5,0.8115942028985508,0.11402418042009711
E4EAC522-DCF2-4672-AD20-D5A70D095F8D,3,0.9661016949152542,0.022225052173585468
CA311A5F-72BA-4871-BB00-542315625158,14,0.8076923076923077,0.14352221756108732
62E4BBDC-D759-4A88-A03C-6D9A46CA5BA7,4,0.8561151079136691,0.08442688535437914
2D71195D-88F1-404B-9D55-CB23F329E5F3,19,0.8883495145631068,0.09154423263357833
566A5F40-6978-44D6-9508-3C254364021A,25,0.8838821490467937,0.08227723565622296
1b6a2e2e6793f8ae42b1af312e3cd706,48,0.8476482617586912,0.11416382539785236
5EA37135-CBE7-48CF-9B3F-2ED168148C8E,2,0.8679245283018868,0.043902198965598854
031b498078dcd89476dda26cfefa21bd,1,0.6458333333333334,0.33195487144383345
b80dc1c5ee50955a1a2cc5825b56b87b,8,0.8506787330316742,0.0935451417100239
7D9C1225-AAE5-4250-B6AF-19523419F118,45,0.9119617224880383,0.06595520205761005
63EA262C-531F-4236-B65D-289ABC3F7D48,21,0.9278350515463918,0.059248116559748217
592d1e5941a70bd37954c728563f7bee,48,0.8088360237892949,0.11985607955720445
6C5E6BC8-F49F-4117-9870-27C2598DAB67,1,0.6901408450704225,0.24639693518588413
BFE77673-C44F-4AD0-8D7F-17ECDB4C94AE,10,0.7846153846153846,0.1141133246722913
8C975490-9689-419D-B225-A07F7402F358,4,0.7595628415300546,0.12233016877456314
f95a1eb2df36a7c7ca56527a650ef422,2,0.7160493827160493,0.26694513038298984
0d98885d2609587fd396a61831f4aaa7,5,0.86875,0.12334585490123917
ab121a360b8e92a607e18ed721a28ab8,5,0.7044025157232704,0.17260649680076348
bcad70d43ed5737cd902c1a3a784b378,7,0.8423076923076923,0.11830694500556134
07a89e7ce21e05d43fb2415f5fa56092,3,0.8414634146341463,0.06795035269296348
5f50577e887b985244453f187332264a,21,0.7565982404692082,0.18132127238148146
8875d480215448a0250ca454ba2df93f,4,0.7428571428571429,0.1277807663214446
fe2a90de8ea052e93d1605be3353c68a,2,0.6181818181818182,0.23272103697881283
d669f76b306831378b5cde44d2c299e9,4,0.7272727272727273,0.14014871652664762
8b1ce89ee8c219f59f3b7590abaf5ef8,5,0.900990099009901,0.07855281296400432
688a401c398ce24ca75ab2c6e01da26b,3,0.8365384615384616,0.12137072873064877
8efc118468089a0fec3ec94fef3615fc,49,0.7759078830823738,0.15849385987853915
0e42effa4a047d4a2ed2de52804b1f03,19,0.7908366533864541,0.11377644839712998
bd369a014e2fa91d17472bd59f9bd613,2,0.8387096774193549,0.1107688465630929
9970e8529f298cfe6af3ebb78216979d,3,0.6228070175438597,0.23549721742722501
a1c4af65f2f122173946f7e8b71de908,7,0.7901234567901234,0.10467896576108542
70cb38e6f5fdf1991c192b4bd9db1e07,1,0.8461538461538461,0.10086754448011866
bf4d1ef49111f337dfca1ed4a98e286f,5,0.6164383561643836,0.2566587987150578
a84bfa9919d5c0200e9028c24bf255ca,1,0.8695652173913043,0.0705459205718743
2505a61cd1b1f15e2b367a576d839f96,2,0.7307692307692307,0.09989394559281219
cf0cbef56d41418f14b84c8419101074,1,0.6808510638297872,0.3137715872608368
7608cc5d7d0e616b69f469366c4cbe12,2,0.7049180327868853,0.13453660905586828
753a8e38087637800961bcb22c50086a,4,0.8272727272727273,0.13824011380260523
