uid,tercio,n_estados,taxa_acordo,js_medio,js_pond
171e910a0612f115b4f878a25ccff27b,2,33,0.8484848484848485,0.06803370930261557,0.0680337093026156
171e910a0612f115b4f878a25ccff27b,3,60,0.9166666666666666,0.03741854011643856,0.04220065191406014
544cf7569c7a585bef756c53aba3eedc,2,467,0.8008565310492506,0.11542929461714346,0.12265551028871513
9a76c20fecfe920d2b82159c7445d3a7,1,135,0.7333333333333333,0.2564106425454545,0.253383965220807
9a76c20fecfe920d2b82159c7445d3a7,2,26,0.8461538461538461,0.15384614902460803,0.16514464987769303
9a76c20fecfe920d2b82159c7445d3a7,3,36,0.9444444444444444,0.02259529747986751,0.02512006008365821
544cf7569c7a585bef756c53aba3eedc,3,426,0.8544600938967136,0.0890921976513053,0.09363783068801744
99072f8aa0c505e92007b7943f80dce7,1,118,0.559322033898305,0.319082176455526,0.2974698135309217
9afe9f8ceeed9d66b26195f0258882b9,2,135,0.6518518518518519,0.17767787504521818,0.19176634744144122
9afe9f8ceeed9d66b26195f0258882b9,3,159,0.5408805031446541,0.29760884683154193,0.32197330254115397
3981b9903327b50010d03d2050bdfc8e,1,71,0.8028169014084507,0.1714274756469001,0.19537701881342553
3981b9903327b50010d03d2050bdfc8e,2,73,0.7671232876712328,0.13597550100055855,0.13453016341693544
3981b9903327b50010d03d2050bdfc8e,3,42,0.7380952380952381,0.21623104383510428,0.2032627882445311
d3bb88836933b0a2a24aa2eb1f1af368,3,90,0.8333333333333334,0.12075187067510096,0.15555596753598244
cf6c71e51759587f2d157582ee5fc422,1,49,0.8571428571428571,0.0953776252247746,0.09795707721288448
cf6c71e51759587f2d157582ee5fc422,2,75,0.8133333333333334,0.16939013308364045,0.16119173895131886
cf6c71e51759587f2d157582ee5fc422,3,91,0.6043956043956044,0.17029155819898165,0.16804631757711413
f28a2f84497c8dd830ed736cd4b8360e,1,99,0.9090909090909091,0.0630819422386477,0.046945476322039464
f28a2f84497c8dd830ed736cd4b8360e,2,134,0.8134328358208955,0.15314922154645694,0.14974512236613247
f28a2f84497c8dd830ed736cd4b8360e,3,69,0.8260869565217391,0.06411679941141192,0.062489197544923845
b30ca2754d3cc36e0a1c67a85fc50712,1,134,0.6417910447761194,0.19493296078498015,0.20855607853471791
63636596c0c1eed7d94b9bed12cc2ad6,1,126,0.8809523809523809,0.08692226844562033,0.08073651149264519
01ba1d4d7a03dd1a506a0689f18ab92d,1,53,0.7358490566037735,0.2279566744815998,0.2289522250320715
01ba1d4d7a03dd1a506a0689f18ab92d,2,14,1.0,0.0,0.0
01ba1d4d7a03dd1a506a0689f18ab92d,3,97,0.711340206185567,0.18215640404425937,0.1748892402990117
b30ca2754d3cc36e0a1c67a85fc50712,2,82,0.7073170731707317,0.1824989132443243,0.1326172466127535
e3a758cbead0ee05182a7d607f38d6f3,1,68,0.7941176470588235,0.1675438512994333,0.2207782278672569
e3a758cbead0ee05182a7d607f38d6f3,2,103,0.7766990291262136,0.14125017195003722,0.14290488117356365
3be5173b947f6358107dd3728fbcb985,1,335,0.7253731343283583,0.18957877096325856,0.19151966513463817
3be5173b947f6358107dd3728fbcb985,2,229,0.8602620087336245,0.12096202046011628,0.13786928414377855
3be5173b947f6358107dd3728fbcb985,3,701,0.6975748930099858,0.24318251076663405,0.2608845717700901
d134eca3406f18b8ec4dcade0b5d7135,1,160,0.79375,0.13493366413637672,0.14092255149978797
59c0f39a9bccac3d7277d711b71f911e,1,281,0.5444839857651246,0.3449407573460313,0.3208562123422954
59c0f39a9bccac3d7277d711b71f911e,2,163,0.7423312883435583,0.13738721704566983,0.1364589448752618
59c0f39a9bccac3d7277d711b71f911e,3,173,0.7687861271676301,0.12861399956632838,0.1488286130773905
3caecfb90a7f689da05cf10380ddd0a2,1,109,0.5596330275229358,0.34301093367067537,0.33761961259560386
3caecfb90a7f689da05cf10380ddd0a2,2,32,0.78125,0.15893778788179733,0.1589377878817974
3caecfb90a7f689da05cf10380ddd0a2,3,48,0.9375,0.03380325391298194,0.03622722978293269
d010bc69f52601c8118e33eaf0133ac8,1,115,0.8,0.15457289401078272,0.1617604112031356
6136eb99c678f9892c5e18bf58897eac,1,54,0.7222222222222222,0.2395154435678555,0.2249214691342731
6136eb99c678f9892c5e18bf58897eac,2,27,1.0,0.0,0.0
6136eb99c678f9892c5e18bf58897eac,3,40,0.85,0.08482455419804741,0.07725721256249359
d010bc69f52601c8118e33eaf0133ac8,2,111,0.7927927927927928,0.16343478898860528,0.15863058012549883
d010bc69f52601c8118e33eaf0133ac8,3,136,0.7794117647058824,0.18256594462911285,0.19486124636150876
99072f8aa0c505e92007b7943f80dce7,2,111,0.6666666666666666,0.21761120781809765,0.22316213784676533
a466099afffd71c7d07457f0cba850f0,1,53,0.8490566037735849,0.10814578089866944,0.11159629495744616
a466099afffd71c7d07457f0cba850f0,2,51,0.9019607843137255,0.0845348624357137,0.07981141826009268
a466099afffd71c7d07457f0cba850f0,3,114,0.7280701754385965,0.2148004743600806,0.215172065520501
99072f8aa0c505e92007b7943f80dce7,3,124,0.7580645161290323,0.1951910410599065,0.19270396834732273
0e64512c0d21e5e881bfb7c90bb6e52d,1,76,0.8947368421052632,0.09026411621998133,0.1014279254415762
0e64512c0d21e5e881bfb7c90bb6e52d,2,47,0.7872340425531915,0.08402920677297548,0.07211315426762688
0e64512c0d21e5e881bfb7c90bb6e52d,3,51,0.8627450980392157,0.0522658985796945,0.05409831839322767
b30ca2754d3cc36e0a1c67a85fc50712,3,75,0.76,0.2032681599942092,0.19115261756988083
f3fb9742342f75616e8515269a21796c,1,173,0.7109826589595376,0.18619455292464357,0.1862687918484838
f3fb9742342f75616e8515269a21796c,2,36,0.8333333333333334,0.17531327559836954,0.17789294747445664
f3fb9742342f75616e8515269a21796c,3,75,0.8,0.07558895444561604,0.07155309912562428
9964166ccef46e00e9e60f2d7fd1e2c2,1,83,0.6024096385542169,0.25801487841680915,0.24325379568657388
9964166ccef46e00e9e60f2d7fd1e2c2,2,17,0.9411764705882353,0.027008699275717477,0.027008699275717467
9964166ccef46e00e9e60f2d7fd1e2c2,3,80,0.675,0.24314406078240994,0.22867385288290384
d134eca3406f18b8ec4dcade0b5d7135,2,90,0.7111111111111111,0.21452517675257318,0.24416701726192014
d134eca3406f18b8ec4dcade0b5d7135,3,56,0.9464285714285714,0.03161474939158464,0.03169681281269567
63636596c0c1eed7d94b9bed12cc2ad6,2,194,0.6752577319587629,0.1609395330899317,0.19109901659754475
63636596c0c1eed7d94b9bed12cc2ad6,3,193,0.7979274611398963,0.1077642774823737,0.112194187488788
0337999a834479a1086a63219045dfff,1,79,0.6962025316455697,0.1808245248676149,0.18061454580808103
0337999a834479a1086a63219045dfff,2,24,0.9166666666666666,0.0546365865933976,0.054636586593397596
0337999a834479a1086a63219045dfff,3,54,0.9444444444444444,0.0300473368115395,0.027779698217148725
dea4225f6cb362373b4030d9cf1306fb,1,70,0.8285714285714286,0.08499103814742537,0.06937315268209998
dea4225f6cb362373b4030d9cf1306fb,2,125,0.784,0.1593142687015553,0.16624261909260374
