maze_name,complexidade_hibrida,taxa_acordo,js_divergencia,desvio_pct,n_estados,n_partidas,media_reflexoes,media_voltas,mediana_tempo,p90_backtracks,fluidez,sinuosidade,norm_reflexoes,norm_voltas,norm_tempo,norm_risco,norm_fluidez,score_base,score_final_raw
Tigerlily Terrace,17.11,0.7198,0.2061,0.2802,233,162,3.4074074074074074,25.308641975308642,35.11899,39.80000000000001,0.27943321525317777,0.4271723275682434,0.15050544592411857,0.2050764660151251,0.1968476312554705,0.17296222664015906,0.8198163273883989,0.1697223411426977,0.005759075665017904
San Chu,11.14,0.7204,0.167,0.2796,212,218,1.9036697247706422,10.284403669724771,18.351525000000002,21.600000000000023,0.24164779161947902,0.31738391845979613,0.07284395420963796,0.0703012145829907,0.08287144246213718,0.08250497017892654,0.6271393278106067,0.0765273810913308,-0.04890048447079055
Lophiington,50.65,0.7219,0.2133,0.2781,357,180,10.266666666666667,51.94444444444444,79.002985,88.0,0.28069020021074814,0.4105198454513523,0.5047562652534322,0.44401350241318666,0.49514737418773225,0.4125248508946321,0.8262259972252902,0.47831392788450766,0.3130687284394496
Bearpaw Brook,97.64,0.723,0.2126,0.277,759,48,16.583333333333332,109.4375,142.26954999999998,206.20000000000005,0.2685714285714286,0.41119373776908025,0.8309845440688449,0.9597561883649817,0.925199380066122,1.0,0.7644294541808433,0.896507766884145,0.7436218760479764
Ckrodhurstkenford,49.26,0.7238,0.1988,0.2762,392,169,8.781065088757396,53.55029585798817,76.33405,86.0,0.2515047113029762,0.37565895977751024,0.428031424234941,0.45841882690425034,0.47700539271127573,0.4025844930417494,0.6774021415375837,0.4357755719585006,0.30029514365098386
El Fallvey,42.14,0.7241,0.2185,0.2759,465,169,8.278106508875739,42.46153846153846,61.1137,76.20000000000002,0.26312690156050644,0.35214446952595935,0.4020558075863547,0.35894689123740114,0.3735456577363936,0.3538767395626243,0.7366664962012176,0.38240707237672106,0.23507377313647754
Hightree Harbor,42.95,0.7243,0.2092,0.2757,342,162,9.123456790123457,36.870370370370374,61.44712,67.80000000000001,0.2645769139606542,0.35393458165442054,0.44571446203188,0.3087911981526847,0.37581206717082344,0.3121272365805169,0.7440604595803101,0.3913242115814765,0.2425121196654145
Riverside Roost,36.64,0.7252,0.2135,0.2748,405,179,6.340782122905028,36.96648044692738,49.31038,73.0,0.239780384327427,0.33027202395807337,0.30200145403347584,0.3096533556524308,0.2933130507974122,0.33797216699801186,0.6176169670846735,0.3082231061410658,0.1846997127241311
Frostpine Fort,35.9,0.7262,0.2336,0.2738,578,160,6.5625,35.29375,53.939375,51.19999999999999,0.23548027896618415,0.3309500087909512,0.31345221520930167,0.29464809136032777,0.3247784636098675,0.22962226640159034,0.5956896914530798,0.2970710627429752,0.1779331244523592
Grandstoguquay,33.91,0.7273,0.202,0.2727,309,183,7.060109289617486,33.84699453551912,52.84897,62.0,0.2738116119978951,0.3621586856107115,0.33915156435037913,0.2816699404870315,0.3173664781880286,0.283300198807157,0.7911504148781947,0.31787611162292984,0.15964602864729088
Eucalyptus Edge,66.41,0.7273,0.2018,0.2727,452,30,12.033333333333333,73.5,98.36393000000001,127.20000000000002,0.2668384879725086,0.3788659793814433,0.5959968920461334,0.6373780750903665,0.626752642040526,0.6073558648111331,0.7555927715943691,0.6085579549024352,0.4574394005835614
Starlight Summit,18.56,0.7276,0.2047,0.2724,515,178,2.432584269662921,16.56179775280899,30.793680000000002,23.0,0.21188118811881188,0.277982083922678,0.100160083226099,0.12661271262225116,0.16744650537569725,0.08946322067594431,0.47535222848547637,0.11412325808560292,0.019052812388507645
Grand Shengates,3.26,0.7301,0.1598,0.2699,164,218,1.1697247706422018,7.8807339449541285,10.467825000000001,8.0,0.268002165674066,0.4650785056848944,0.03493889893830633,0.04873904384749509,0.02928229946467141,0.014910536779324052,0.7615266452009017,0.03118192110270177,-0.12112340793747858
Port Systhaven,47.29,0.731,0.2094,0.269,343,167,8.32934131736527,56.047904191616766,80.21996,73.4,0.252836714894335,0.3948200953304931,0.40470186194872565,0.4808236759420004,0.5034197142437138,0.3399602385685884,0.6841943495037522,0.41910928913102335,0.2822704192302729
Chammoines,40.9,0.7315,0.218,0.2685,325,195,7.81025641025641,36.11282051282051,54.70285,60.0,0.2324861983628403,0.3351418237197792,0.37789339084500295,0.30199558093422546,0.32996815511892924,0.2733598409542743,0.5804221514424429,0.33981185273056475,0.22372742244207616
Tyve End,22.28,0.7336,0.1638,0.2664,230,181,3.867403314917127,19.30939226519337,35.5996,30.0,0.23046986236355008,0.3317513051732321,0.17426222795615492,0.15126006802944875,0.20011455896910904,0.12425447316103377,0.570140367274819,0.16713092720705092,0.05310285375208712
Selespring,14.39,0.7355,0.23,0.2645,156,202,3.3168316831683167,19.435643564356436,26.469459999999998,38.0,0.28315789473684205,0.4591812865497076,0.14582760487594265,0.15239260801199228,0.1380527887283741,0.16401590457256457,0.8388093675156864,0.14856680189935828,-0.019195071603779007
Swan Lake City,74.7,0.7362,0.2034,0.2638,562,37,14.324324324324325,82.4054054054054,110.0376,109.39999999999999,0.25636428827536756,0.36440779251822636,0.7143165829863879,0.7172642049697447,0.7061039581655975,0.518886679920477,0.7021822980163016,0.6738828396073834,0.533446380004123
